Altium Designer Pick and Place Locations
D:\Altium-Designer-17\Project\PCB_Project_V2\Project Outputs for PCB_Project\Pick Place for keypboard_v2.txt

========================================================================================================================
File Design Information:

Date:       30/01/21
Time:       21:58
Revision:   0
Variant:    No variations
Units used: mil

Designator Comment Layer       Footprint          Center-X(mil) Center-Y(mil) Rotation 
S24        MX1A    TopLayer    KEY                12991.370     16730.361     180      
stm1       U?      TopLayer    STM32F4X1CXU6_CORE 14791.548     15999.298     270      
S2         MX1A    TopLayer    KEY                9241.792      16180.349     360      
S6         MX1A    TopLayer    KEY                9335.540      13180.375     360      
D90        1N4148  BottomLayer SOD323             23690.000     13485.000     360      
D89        1N4148  BottomLayer SOD323             23689.154     15530.349     360      
D88        1N4148  BottomLayer SOD323             23689.154     16280.334     360      
D87        1N4148  BottomLayer SOD323             23689.154     16630.361     360      
D86        1N4148  BottomLayer SOD323             22940.000     13485.000     360      
D85        1N4148  BottomLayer SOD323             22939.154     14030.377     360      
D84        1N4148  BottomLayer SOD323             22939.209     15530.349     360      
D83        1N4148  BottomLayer SOD323             22939.209     16280.334     360      
D82        1N4148  BottomLayer SOD323             22939.209     16630.330     360      
D81        1N4148  BottomLayer SOD323             22428.000     13485.000     360      
D80        1N4148  BottomLayer SOD323             22189.209     15530.349     360      
D79        1N4148  BottomLayer SOD323             22189.209     16280.334     360      
D78        1N4148  BottomLayer SOD323             22189.209     16630.361     360      
D77        1N4148  BottomLayer SOD323             21820.209     15530.334     180      
D76        1N4148  BottomLayer SOD323             21632.709     16280.334     180      
D75        1N4148  BottomLayer SOD323             21251.709     16630.361     360      
D74        1N4148  BottomLayer SOD323             21432.000     13525.000     0        
D73        1N4148  BottomLayer SOD323             21538.929     14780.349     180      
D72        1N4148  BottomLayer SOD323             20590.000     15834.000     360      
D71        1N4148  BottomLayer SOD323             20507.709     16280.334     180      
D70        1N4148  BottomLayer SOD323             20501.709     16630.330     360      
D69        1N4148  BottomLayer SOD323             20407.000     13520.000     360      
D68        1N4148  BottomLayer SOD323             21351.429     14030.345     180      
D67        1N4148  BottomLayer SOD323             20320.209     14780.349     180      
D66        1N4148  BottomLayer SOD323             20133.000     15530.365     180      
D65        1N4148  BottomLayer SOD323             19758.000     16280.365     180      
D64        1N4148  BottomLayer SOD323             19751.709     16630.361     360      
D63        1N4148  BottomLayer SOD323             19213.000     13483.000     270      
D62        1N4148  BottomLayer SOD323             19249.000     14185.000     360      
D61        1N4148  BottomLayer SOD323             18898.000     14937.000     360      
D59        1N4148  BottomLayer SOD323             18576.000     16396.000     360      
D58        1N4148  BottomLayer SOD323             19028.000     16674.000     270      
D57        1N4148  BottomLayer SOD323             18467.000     13494.000     270      
D56        1N4148  BottomLayer SOD323             18510.000     14189.000     360      
D55        1N4148  BottomLayer SOD323             18124.000     14912.000     360      
D54        1N4148  BottomLayer SOD323             17913.000     15665.000     360      
D53        1N4148  BottomLayer SOD323             17776.000     16398.000     360      
D52        1N4148  BottomLayer SOD323             17886.000     16629.000     360      
D51        1N4148  BottomLayer SOD323             17759.000     14178.000     360      
D50        1N4148  BottomLayer SOD323             17377.000     14913.000     360      
D49        1N4148  BottomLayer SOD323             17198.000     15665.000     360      
D48        1N4148  BottomLayer SOD323             17429.000     16358.000     180      
D46        1N4148  BottomLayer SOD323             16969.000     14176.000     360      
D45        1N4148  BottomLayer SOD323             16663.000     14951.000     360      
D44        1N4148  BottomLayer SOD323             16481.000     15653.000     360      
D43        1N4148  BottomLayer SOD323             16757.512     16280.334     180      
